"Source","Target","論文ID","論文タイトル","所属1","所属2"
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-020-0669-6","Selective organ targeting (SORT) nanoparticles for tissue-specific mRNA delivery and CRISPR–Cas gene editing","",""
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-020-0669-6","Selective organ targeting (SORT) nanoparticles for tissue-specific mRNA delivery and CRISPR–Cas gene editing","",""
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-020-0669-6","Selective organ targeting (SORT) nanoparticles for tissue-specific mRNA delivery and CRISPR–Cas gene editing","",""
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","8 メモリ・電子デバイス・半導体素子","https://doi.org/10.1038/s41565-020-0655-z","Memory devices and applications for in-memory computing","",""
"8 メモリ・電子デバイス・半導体素子","8 デバイス動作・システムレベル評価・応用","https://doi.org/10.1038/s41565-020-0655-z","Memory devices and applications for in-memory computing","",""
"8 デバイス動作・システムレベル評価・応用","1 電気・電子・論理・量子デバイス性能","https://doi.org/10.1038/s41565-020-0655-z","Memory devices and applications for in-memory computing","",""
"2 デバイス・機能材料の設計・開発・動作・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-021-00931-2","Extracellular vesicles as a next-generation drug delivery platform","",""
"6 リポソーム・LNP・バイオナノ材料","7 ナノバイオ・医療・生体応用実験・評価","https://doi.org/10.1038/s41565-021-00931-2","Extracellular vesicles as a next-generation drug delivery platform","",""
"7 ナノバイオ・医療・生体応用実験・評価","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-021-00931-2","Extracellular vesicles as a next-generation drug delivery platform","",""
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-021-00898-0","The current landscape of nucleic acid therapeutics","",""
"6 リポソーム・LNP・バイオナノ材料","13 レビュー・総説・動向分析・社会データ","https://doi.org/10.1038/s41565-021-00898-0","The current landscape of nucleic acid therapeutics","",""
"13 レビュー・総説・動向分析・社会データ","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-021-00898-0","The current landscape of nucleic acid therapeutics","",""
"1 新規材料・ナノ構造の合成・成長・構造制御・基礎物性の解明","6 リポソーム・LNP・バイオナノ材料","https://doi.org/10.1038/s41565-021-00858-8","Key principles and methods for studying the endocytosis of biological and nanoparticle therapeutics","",""
"6 リポソーム・LNP・バイオナノ材料","3 構造評価・表面分析・顕微鏡観察","https://doi.org/10.1038/s41565-021-00858-8","Key principles and methods for studying the endocytosis of biological and nanoparticle therapeutics","",""
"3 構造評価・表面分析・顕微鏡観察","8 バイオ応答・治療効果・送達・安全性","https://doi.org/10.1038/s41565-021-00858-8","Key principles and methods for studying the endocytosis of biological and nanoparticle therapeutics","",""
"3 量子・スピン・トポロジカル・先端物性現象の実証・制御・応用","14 その他（複合材料・特殊構造体等）","https://doi.org/10.1038/s41565-020-0707-4","Differentially charged nanoplastics demonstrate distinct accumulation in Arabidopsis thaliana","",""
"14 その他（複合材料・特殊構造体等）","3 構造評価・表面分析・顕微鏡観察","https://doi.org/10.1038/s41565-020-0707-4","Differentially charged nanoplastics demonstrate distinct accumulation in Arabidopsis thaliana","",""
